subject,region,grade_class,year,grade,degree_type
法律(非法学)、法律(法学)、社会工作、警务,A类,总分,2010,315,专硕
法律(非法学)、法律(法学)、社会工作、警务,A类,单科=100分,2010,46,专硕
法律(非法学)、法律(法学)、社会工作、警务,A类,单科>100分,2010,69,专硕
法律(非法学)、法律(法学)、社会工作、警务,A类,总分,2011,325,专硕
法律(非法学)、法律(法学)、社会工作、警务,A类,单科=100分,2011,45,专硕
法律(非法学)、法律(法学)、社会工作、警务,A类,单科>100分,2011,68,专硕
法律(非法学)、法律(法学)、社会工作、警务,A类,总分,2012,315,专硕
法律(非法学)、法律(法学)、社会工作、警务,A类,单科=100分,2012,42,专硕
法律(非法学)、法律(法学)、社会工作、警务,A类,单科>100分,2012,63,专硕
法律(非法学)、法律(法学)、社会工作、警务,A类,总分,2013,315,专硕
法律(非法学)、法律(法学)、社会工作、警务,A类,单科=100分,2013,42,专硕
法律(非法学)、法律(法学)、社会工作、警务,A类,单科>100分,2013,63,专硕
法律(非法学)、法律(法学)、社会工作、警务,A类,总分,2014,315,专硕
法律(非法学)、法律(法学)、社会工作、警务,A类,单科=100分,2014,44,专硕
法律(非法学)、法律(法学)、社会工作、警务,A类,单科>100分,2014,66,专硕
法律(非法学)、法律(法学)、社会工作、警务,A类,总分,2015,300,专硕
法律(非法学)、法律(法学)、社会工作、警务,A类,单科=100分,2015,42,专硕
法律(非法学)、法律(法学)、社会工作、警务,A类,单科>100分,2015,63,专硕
法律(非法学)、法律(法学)、社会工作、警务,A类,总分,2016,315,专硕
法律(非法学)、法律(法学)、社会工作、警务,A类,单科=100分,2016,45,专硕
法律(非法学)、法律(法学)、社会工作、警务,A类,单科>100分,2016,68,专硕
法律(非法学)、法律(法学)、社会工作、警务,A类,总分,2017,310,专硕
法律(非法学)、法律(法学)、社会工作、警务,A类,单科=100分,2017,44,专硕
法律(非法学)、法律(法学)、社会工作、警务,A类,单科>100分,2017,66,专硕
法律(非法学)、法律(法学)、社会工作、警务,A类,总分,2018,315,专硕
法律(非法学)、法律(法学)、社会工作、警务,A类,单科=100分,2018,42,专硕
法律(非法学)、法律(法学)、社会工作、警务,A类,单科>100分,2018,63,专硕
法律(非法学)、法律(法学)、社会工作、警务,A类,总分,2019,320,专硕
法律(非法学)、法律(法学)、社会工作、警务,A类,单科=100分,2019,44,专硕
法律(非法学)、法律(法学)、社会工作、警务,A类,单科>100分,2019,66,专硕
法律(非法学)、法律(法学)、社会工作、警务,B类,总分,2010,305,专硕
法律(非法学)、法律(法学)、社会工作、警务,B类,单科=100分,2010,43,专硕
法律(非法学)、法律(法学)、社会工作、警务,B类,单科>100分,2010,65,专硕
法律(非法学)、法律(法学)、社会工作、警务,B类,总分,2011,315,专硕
法律(非法学)、法律(法学)、社会工作、警务,B类,单科=100分,2011,43,专硕
法律(非法学)、法律(法学)、社会工作、警务,B类,单科>100分,2011,65,专硕
法律(非法学)、法律(法学)、社会工作、警务,B类,总分,2012,305,专硕
