subject,region,grade_class,year,grade,degree_type
经济学,A类,总分,2011,350,学硕
经济学,A类,单科=100分,2011,55,学硕
经济学,A类,单科>100分,2011,83,学硕
经济学,B类,总分,2011,340,学硕
经济学,B类,单科=100分,2011,53,学硕
经济学,B类,单科>100分,2011,80,学硕
经济学,A类,总分,2012,340,学硕
经济学,A类,单科=100分,2012,50,学硕
经济学,A类,单科>100分,2012,75,学硕
经济学,B类,总分,2012,330,学硕
经济学,B类,单科=100分,2012,47,学硕
经济学,B类,单科>100分,2012,71,学硕
经济学,A类,总分,2013,340,学硕
经济学,A类,单科=100分,2013,49,学硕
经济学,A类,单科>100分,2013,74,学硕
经济学,B类,总分,2013,330,学硕
经济学,B类,单科=100分,2013,46,学硕
经济学,B类,单科>100分,2013,69,学硕
经济学,A类,总分,2014,330,学硕
经济学,A类,单科=100分,2014,45,学硕
经济学,A类,单科>100分,2014,68,学硕
经济学,B类,总分,2014,320,学硕
经济学,B类,单科=100分,2014,42,学硕
经济学,B类,单科>100分,2014,63,学硕
经济学,A类,总分,2015,330,学硕
经济学,A类,单科=100分,2015,45,学硕
经济学,A类,单科>100分,2015,68,学硕
经济学,B类,总分,2015,320,学硕
经济学,B类,单科=100分,2015,42,学硕
经济学,B类,单科>100分,2015,63,学硕
经济学,A类,总分,2016,325,学硕
经济学,A类,单科=100分,2016,45,学硕
经济学,A类,单科>100分,2016,68,学硕
经济学,B类,总分,2016,315,学硕
经济学,B类,单科=100分,2016,42,学硕
经济学,B类,单科>100分,2016,63,学硕
经济学,A类,总分,2017,335,学硕
经济学,A类,单科=100分,2017,46,学硕
经济学,A类,单科>100分,2017,69,学硕
经济学,B类,总分,2017,325,学硕
经济学,B类,单科=100分,2017,43,学硕
经济学,B类,单科>100分,2017,65,学硕
经济学,A类,总分,2018,330,学硕
经济学,A类,单科=100分,2018,44,学硕
经济学,A类,单科>100分,2018,66,学硕
经济学,B类,总分,2018,320,学硕
经济学,B类,单科=100分,2018,41,学硕
经济学,B类,单科>100分,2018,62,学硕
经济学,A类,总分,2019,345,学硕
经济学,A类,单科=100分,2019,49,学硕
经济学,A类,单科>100分,2019,74,学硕
经济学,B类,总分,2019,335,学硕
经济学,B类,单科=100分,2019,46,学硕
经济学,B类,单科>100分,2019,69,学硕
经济学,A类,总分,2020,343,学硕
经济学,A类,单科=100分,2020,48,学硕
经济学,A类,单科>100分,2020,72,学硕
经济学,B类,总分,2020,333,学硕
经济学,B类,单科=100分,2020,45,学硕
经济学,B类,单科>100分,2020,68,学硕
法学,A类,总分,2005,340,学硕
法学,A类,单科=100分,2005,55,学硕
法学,A类,单科>100分,2005,83,学硕
法学,B类,总分,2005,335,学硕
法学,B类,单科=100分,2005,53,学硕
法学,B类,单科>100分,2005,80,学硕
法学,A类,总分,2006,340,学硕
法学,A类,单科=100分,2006,55,学硕
法学,A类,单科>100分,2006,83,学硕
法学,B类,总分,2006,335,学硕
法学,B类,单科=100分,2006,53,学硕
法学,B类,单科>100分,2006,80,学硕
法学,A类,总分,2007,335,学硕
法学,A类,单科=100分,2007,53,学硕
法学,A类,单科>100分,2007,80,学硕
法学,B类,总分,2007,330,学硕
法学,B类,单科=100分,2007,51,学硕
法学,B类,单科>100分,2007,77,学硕
法学,A类,总分,2008,330,学硕
法学,A类,单科=100分,2008,53,学硕
法学,A类,单科>100分,2008,80,学硕
法学,B类,总分,2008,320,学硕
法学,B类,单科=100分,2008,49,学硕
法学,B类,单科>100分,2008,74,学硕
法学,A类,总分,2009,315,学硕
法学,A类,单科=100分,2009,46,学硕
法学,A类,单科>100分,2009,69,学硕
法学,B类,总分,2009,305,学硕
法学,B类,单科=100分,2009,43,学硕
法学,B类,单科>100分,2009,65,学硕
法学,A类,总分,2010,310,学硕
法学,A类,单科=100分,2010,43,学硕
法学,A类,单科>100分,2010,65,学硕
法学,B类,总分,2010,300,学硕
法学,B类,单科=100分,2010,40,学硕
法学,B类,单科>100分,2010,60,学硕
法学,A类,总分,2011,325,学硕
法学,A类,单科=100分,2011,45,学硕
法学,A类,单科>100分,2011,68,学硕
法学,B类,总分,2011,315,学硕
法学,B类,单科=100分,2011,43,学硕
法学,B类,单科>100分,2011,65,学硕
法学,A类,总分,2012,315,学硕
法学,A类,单科=100分,2012,42,学硕
法学,A类,单科>100分,2012,63,学硕
法学,B类,总分,2012,305,学硕
法学,B类,单科=100分,2012,39,学硕
法学,B类,单科>100分,2012,59,学硕
法学,A类,总分,2013,315,学硕
法学,A类,单科=100分,2013,42,学硕
法学,A类,单科>100分,2013,63,学硕
法学,B类,总分,2013,305,学硕
法学,B类,单科=100分,2013,39,学硕
法学,B类,单科>100分,2013,59,学硕
法学,A类,总分,2014,315,学硕
法学,A类,单科=100分,2014,44,学硕
法学,A类,单科>100分,2014,66,学硕
法学,B类,总分,2014,305,学硕
法学,B类,单科=100分,2014,41,学硕
法学,B类,单科>100分,2014,62,学硕
法学,A类,总分,2015,300,学硕
法学,A类,单科=100分,2015,42,学硕
法学,A类,单科>100分,2015,63,学硕
法学,B类,总分,2015,290,学硕
法学,B类,单科=100分,2015,39,学硕
法学,B类,单科>100分,2015,59,学硕
法学,A类,总分,2016,315,学硕
法学,A类,单科=100分,2016,45,学硕
法学,A类,单科>100分,2016,68,学硕
法学,B类,总分,2016,305,学硕
法学,B类,单科=100分,2016,42,学硕
法学,B类,单科>100分,2016,63,学硕
法学,A类,总分,2017,310,学硕
法学,A类,单科=100分,2017,44,学硕
法学,A类,单科>100分,2017,66,学硕
法学,B类,总分,2017,300,学硕
法学,B类,单科=100分,2017,41,学硕
法学,B类,单科>100分,2017,62,学硕
法学,A类,总分,2018,315,学硕
法学,A类,单科=100分,2018,42,学硕
法学,A类,单科>100分,2018,63,学硕
法学,B类,总分,2018,305,学硕
法学,B类,单科=100分,2018,39,学硕
法学,B类,单科>100分,2018,59,学硕
法学,A类,总分,2019,320,学硕
法学,A类,单科=100分,2019,44,学硕
法学,A类,单科>100分,2019,66,学硕
法学,B类,总分,2019,310,学硕
法学,B类,单科=100分,2019,41,学硕
法学,B类,单科>100分,2019,62,学硕
法学,A类,总分,2020,325,学硕
法学,A类,单科=100分,2020,46,学硕
法学,A类,单科>100分,2020,69,学硕
法学,B类,总分,2020,315,学硕
法学,B类,单科=100分,2020,43,学硕
法学,B类,单科>100分,2020,65,学硕
教育学,A类,总分,2005,325,学硕
教育学,A类,单科=100分,2005,53,学硕
教育学,A类,单科>100分,2005,80,学硕
教育学,B类,总分,2005,320,学硕
教育学,B类,单科=100分,2005,51,学硕
教育学,B类,单科>100分,2005,77,学硕
教育学,A类,总分,2006,325,学硕
